LATITUDE,LONGITUDE,ACQ_DATE,ACQ_TIME,SATELLITE,FRP,DAYNIGHT,initialdat,area_ha,id,days_diff,layer,path
41.7988000000,0.5862000000,2023-05-01,"1259",Aqua,6.4000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.7988000000,0.5862000000,2023-05-01,"1259",Aqua,6.4000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.7890000000,0.5895000000,2023-05-01,"1259",Aqua,10.6000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.7890000000,0.5895000000,2023-05-01,"1259",Aqua,10.6000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.7917000000,0.6042000000,2023-05-01,"1259",Aqua,22.7000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.7917000000,0.6042000000,2023-05-01,"1259",Aqua,22.7000000000,D,2023-05-01,"32","216162","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.8300000000,-5.8627000000,2023-05-02,"1340",Aqua,10.4000000000,D,2023-05-02,"21","216160","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.8300000000,-5.8627000000,2023-05-02,"1340",Aqua,10.4000000000,D,2023-05-02,"21","216160","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
43.2160000000,-3.6412000000,2023-05-03,"1022",Terra,24.7000000000,D,2023-05-03,"25","216391","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
43.2160000000,-3.6412000000,2023-05-03,"1022",Terra,24.7000000000,D,2023-05-03,"25","216391","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
43.0794000000,-6.8692000000,2023-05-05,"1409",Aqua,72.4000000000,D,2023-05-04,"14","216167","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
43.0794000000,-6.8692000000,2023-05-05,"1409",Aqua,72.4000000000,D,2023-05-04,"14","216167","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
36.9517000000,-2.3443000000,2023-05-08,"1032",Terra,12.5000000000,D,2023-05-08,"43","216166","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
36.9517000000,-2.3443000000,2023-05-08,"1032",Terra,12.5000000000,D,2023-05-08,"43","216166","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
36.9532000000,-2.3561000000,2023-05-08,"1032",Terra,7.6000000000,D,2023-05-08,"43","216166","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
36.9532000000,-2.3561000000,2023-05-08,"1032",Terra,7.6000000000,D,2023-05-08,"43","216166","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.7253000000,-3.5289000000,2023-05-08,"1259",Aqua,59.7000000000,D,2023-05-08,"25","216178","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.7253000000,-3.5289000000,2023-05-08,"1259",Aqua,59.7000000000,D,2023-05-08,"25","216178","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.2755000000,-7.5930000000,2023-05-12,"1409",Aqua,25.8000000000,D,2023-05-12,"22","216207","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
41.2755000000,-7.5930000000,2023-05-12,"1409",Aqua,25.8000000000,D,2023-05-12,"22","216207","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
32.7567000000,21.5068000000,2023-05-15,"0846",Terra,15.9000000000,D,2023-05-15,"68","216285","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
32.7567000000,21.5068000000,2023-05-15,"0846",Terra,15.9000000000,D,2023-05-15,"68","216285","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2743000000,-6.1344000000,2023-05-16,"1105",Terra,378.3000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2743000000,-6.1344000000,2023-05-16,"1105",Terra,378.3000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2672000000,-6.1487000000,2023-05-16,"1105",Terra,16.3000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2672000000,-6.1487000000,2023-05-16,"1105",Terra,16.3000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2723000000,-6.1225000000,2023-05-16,"1105",Terra,94.7000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2723000000,-6.1225000000,2023-05-16,"1105",Terra,94.7000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2632000000,-6.1248000000,2023-05-16,"1105",Terra,21.9000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2632000000,-6.1248000000,2023-05-16,"1105",Terra,21.9000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2763000000,-6.1463000000,2023-05-16,"1105",Terra,16.4000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2763000000,-6.1463000000,2023-05-16,"1105",Terra,16.4000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2652000000,-6.1367000000,2023-05-16,"1105",Terra,205.5000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2652000000,-6.1367000000,2023-05-16,"1105",Terra,205.5000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2588000000,-6.1338000000,2023-05-16,"1339",Aqua,28.4000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2588000000,-6.1338000000,2023-05-16,"1339",Aqua,28.4000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2569000000,-6.1456000000,2023-05-16,"1339",Aqua,23.0000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2569000000,-6.1456000000,2023-05-16,"1339",Aqua,23.0000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2679000000,-6.1362000000,2023-05-16,"1339",Aqua,59.2000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
37.2679000000,-6.1362000000,2023-05-16,"1339",Aqua,59.2000000000,D,2023-05-16,"167","216476","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
34.7951000000,33.2899000000,2023-05-17,"1103",Aqua,19.6000000000,D,2023-05-17,"172","216328","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
34.7951000000,33.2899000000,2023-05-17,"1103",Aqua,19.6000000000,D,2023-05-17,"172","216328","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
34.7969000000,33.3016000000,2023-05-17,"1103",Aqua,10.3000000000,D,2023-05-17,"172","216328","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
34.7969000000,33.3016000000,2023-05-17,"1103",Aqua,10.3000000000,D,2023-05-17,"172","216328","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3126000000,-6.3460000000,2023-05-17,"2111",Terra,48.2000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3126000000,-6.3460000000,2023-05-17,"2111",Terra,48.2000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3126000000,-6.3441000000,2023-05-17,"2249",Terra,78.9000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3126000000,-6.3441000000,2023-05-17,"2249",Terra,78.9000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3238000000,-6.3525000000,2023-05-17,"2249",Terra,50.8000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3238000000,-6.3525000000,2023-05-17,"2249",Terra,50.8000000000,N,2023-05-17,"10843","216799","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3130000000,-6.3618000000,2023-05-18,"0221",Aqua,159.5000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3130000000,-6.3618000000,2023-05-18,"0221",Aqua,159.5000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3097000000,-6.3299000000,2023-05-18,"0221",Aqua,21.4000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3097000000,-6.3299000000,2023-05-18,"0221",Aqua,21.4000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3113000000,-6.3458000000,2023-05-18,"0221",Aqua,192.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3113000000,-6.3458000000,2023-05-18,"0221",Aqua,192.8000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3305000000,-6.3246000000,2023-05-18,"0221",Aqua,66.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3305000000,-6.3246000000,2023-05-18,"0221",Aqua,66.6000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3201000000,-6.3275000000,2023-05-18,"0221",Aqua,102.9000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3201000000,-6.3275000000,2023-05-18,"0221",Aqua,102.9000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3219000000,-6.3442000000,2023-05-18,"0221",Aqua,13.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3219000000,-6.3442000000,2023-05-18,"0221",Aqua,13.1000000000,N,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3063000000,-6.3616000000,2023-05-18,"1047",Terra,13.8000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3063000000,-6.3616000000,2023-05-18,"1047",Terra,13.8000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3047000000,-6.3486000000,2023-05-18,"1047",Terra,201.6000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3047000000,-6.3486000000,2023-05-18,"1047",Terra,201.6000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3032000000,-6.3356000000,2023-05-18,"1047",Terra,44.7000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3032000000,-6.3356000000,2023-05-18,"1047",Terra,44.7000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3313000000,-6.3291000000,2023-05-18,"1047",Terra,138.7000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3313000000,-6.3291000000,2023-05-18,"1047",Terra,138.7000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3219000000,-6.3315000000,2023-05-18,"1047",Terra,73.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3219000000,-6.3315000000,2023-05-18,"1047",Terra,73.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3297000000,-6.3159000000,2023-05-18,"1047",Terra,77.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.3297000000,-6.3159000000,2023-05-18,"1047",Terra,77.5000000000,D,2023-05-17,"10843","216799","1",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5795000000,-8.5632000000,2023-05-18,"1047",Terra,24.5000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
40.5795000000,-8.5632000000,2023-05-18,"1047",Terra,24.5000000000,D,2023-05-18,"86","216316","0",short_af_modis,/home/sg/Desktop/validated_af/short_af_modis.shp|layername=short_af_modis
